game_hour,score,max_score,accuracy_pct,real_elapsed_s
0.5,2,8,25.0,50.2
1.5,5,8,62.5,160.1
1.5,0,8,0.0,172.0
1.5,0,8,0.0,172.2
1.5,0,8,0.0,172.4
1.5,0,8,0.0,172.6
1.5,0,8,0.0,172.8
0.5,8,8,100.0,75.1
0.5,8,8,100.0,55.2
0.5,8,8,100.0,72.1
0.5,8,8,100.0,80.3
1,8,8,100.0,99.8
1,8,8,100.0,121.7
1,8,8,100.0,130.1
0,0,8,0.0,22.5
0.5,0,8,0.0,55.2
0.5,0,8,0.0,55.4
0.5,0,8,0.0,55.6
0,0,8,0.0,22.4
0.5,0,12,0.0,31.0
0.5,0,11,0.0,34.8
0,0,11,0.0,22.9
0,0,10,0.0,29.9
0,0,12,0.0,25.5
0.5,11,12,91.7,54.8
0.5,11,12,91.7,76.4
1,10,11,90.9,99.9
1,6,7,85.7,111.7
1,10,11,90.9,123.8
1,0,11,0.0,132.1
1,0,10,0.0,132.3
1,0,11,0.0,132.5
1,0,7,0.0,132.7
1,0,10,0.0,145.1
