game_hour,item_id,quantity,revenue,real_elapsed_s
0.5,down_bun,1,3,54.8
0.5,tomato,2,12,54.8
0.5,cheese,1,5,54.8
0.5,lettuce,1,4,54.8
0.5,meat,1,15,54.8
0.5,top_bun,1,3,54.8
0.5,down_bun,1,3,76.4
0.5,cheese,2,10,76.4
0.5,meat,1,15,76.4
0.5,tomato,1,6,76.4
0.5,lettuce,1,4,76.4
0.5,top_bun,1,3,76.4
1,down_bun,1,3,99.9
1,cheese,2,10,99.9
1,tomato,1,6,99.9
1,meat,1,15,99.9
1,top_bun,1,3,99.9
1,down_bun,1,3,111.7
1,tomato,1,6,111.7
1,cheese,1,5,111.7
1,lettuce,1,4,111.7
1,top_bun,1,3,111.7
1,down_bun,1,3,123.8
1,meat,1,15,123.8
1,cheese,2,10,123.8
1,lettuce,1,4,123.8
1,top_bun,1,3,123.8
1,meat,1,15,145.1
1,meat,1,15,93.1
1,cheese,2,10,93.1
1,down_bun,1,3,112.2
1,tomato,1,6,112.2
1,meat,1,15,112.2
1,cheese,1,5,112.2
1,top_bun,1,3,112.2
0.5,down_bun,1,3,82.8
0.5,cheese,1,5,82.8
0.5,meat,1,15,82.8
0.5,lettuce,1,4,82.8
0.5,onion,1,5,82.8
0.5,top_bun,1,3,82.8
1,down_bun,1,3,127.5
1,lettuce,1,4,127.5
1,cheese,1,5,127.5
1,onion,1,5,127.5
1,tomato,1,6,127.5
1,meat,1,15,127.5
1,top_bun,1,3,127.5
1,down_bun,1,3,136.6
1,lettuce,1,4,136.6
1,cheese,1,5,136.6
1,onion,1,5,136.6
1,top_bun,1,3,136.6
1,down_bun,1,3,147.3
1,cheese,1,5,147.3
1,onion,1,5,147.3
1,meat,1,15,147.3
1,lettuce,1,4,147.3
1,top_bun,1,3,147.3
1.5,down_bun,1,3,155.7
1.5,onion,1,5,155.7
1.5,meat,1,15,155.7
1.5,cheese,1,5,155.7
1.5,top_bun,1,3,155.7
1.5,down_bun,1,3,162.8
1.5,cheese,1,5,162.8
1.5,meat,1,15,162.8
1.5,tomato,1,6,162.8
1.5,top_bun,1,3,162.8
1.5,down_bun,1,3,204.3
1.5,onion,1,5,204.3
1.5,tomato,1,6,204.3
1.5,cheese,1,5,204.3
1.5,lettuce,1,4,204.3
1.5,top_bun,1,3,204.3
2,down_bun,1,3,215.2
2,onion,1,5,215.2
2,cheese,1,5,215.2
2,meat,1,15,215.2
2,tomato,1,6,215.2
2,top_bun,1,3,215.2
2,down_bun,1,3,227.1
2,onion,1,5,227.1
2,meat,1,15,227.1
2,lettuce,1,4,227.1
2,cheese,1,5,227.1
2,tomato,1,6,227.1
2,top_bun,1,3,227.1
2,down_bun,1,3,236.5
2,tomato,1,6,236.5
2,meat,1,15,236.5
2,onion,1,5,236.5
2,cheese,1,5,236.5
2,lettuce,1,4,236.5
2,top_bun,1,3,236.5
2,meat,1,15,245.8
2,onion,1,5,245.8
2,lettuce,1,4,245.8
2.5,down_bun,8,24,308.0
2.5,cheese,2,10,308.0
3,down_bun,1,3,367.7
3,meat,1,15,367.7
3,lettuce,1,4,367.7
3,cheese,1,5,367.7
3,tomato,1,6,367.7
3,top_bun,1,3,367.7
3,down_bun,1,3,382.4
3,lettuce,1,4,382.4
3,meat,1,15,382.4
3,tomato,1,6,382.4
3,top_bun,1,3,382.4
3,cheese,1,5,382.4
3.5,down_bun,1,3,392.7
3.5,cheese,1,5,392.7
3.5,lettuce,1,4,392.7
3.5,tomato,1,6,392.7
3.5,top_bun,1,3,392.7
3.5,down_bun,1,3,401.5
3.5,cheese,1,5,401.5
3.5,lettuce,1,4,401.5
3.5,meat,1,15,401.5
3.5,top_bun,1,3,401.5
3.5,down_bun,1,3,443.9
3.5,cheese,1,5,443.9
3.5,meat,1,15,443.9
3.5,tomato,1,6,443.9
3.5,top_bun,1,3,443.9
3.5,onion,1,5,443.9
4,down_bun,1,3,496.3
4,meat,1,15,496.3
4,onion,1,5,496.3
4,lettuce,1,4,496.3
4,tomato,5,30,496.3
4,top_bun,1,3,496.3
4.5,down_bun,1,3,514.9
4.5,tomato,1,6,514.9
4.5,cheese,1,5,514.9
4.5,lettuce,5,20,514.9
4.5,onion,2,10,514.9
4.5,down_bun,1,3,555.0
4.5,meat,1,15,555.0
4.5,cheese,1,5,555.0
4.5,lettuce,1,4,555.0
4.5,top_bun,6,18,555.0
4.5,down_bun,1,3,569.5
4.5,top_bun,1,3,569.5
4.5,meat,1,15,569.5
4.5,lettuce,1,4,569.5
4.5,tomato,1,6,569.5
4.5,cheese,1,5,569.5
5,down_bun,1,3,590.6
5,meat,3,45,590.6
5,lettuce,1,4,590.6
5,onion,1,5,590.6
5,cheese,1,5,590.6
5,top_bun,1,3,590.6
6,down_bun,1,3,710.4
6,meat,1,15,710.4
6,onion,1,5,710.4
6,cheese,1,5,710.4
6,lettuce,1,4,710.4
6,top_bun,1,3,710.4
0.5,down_bun,1,3,85.4
0.5,cheese,1,5,85.4
0.5,lettuce,1,4,85.4
0.5,meat,1,15,85.4
0.5,tomato,1,6,85.4
0.5,onion,1,5,85.4
0.5,top_bun,1,3,85.4
1,down_bun,1,3,94.5
1,meat,1,15,94.5
1,lettuce,1,4,94.5
1,tomato,1,6,94.5
1,top_bun,1,3,94.5
1,down_bun,1,3,103.0
1,onion,1,5,103.0
1,meat,1,15,103.0
1,tomato,1,6,103.0
1,top_bun,1,3,103.0
1,down_bun,1,3,112.4
1,lettuce,1,4,112.4
1,meat,1,15,112.4
1,tomato,1,6,112.4
1,cheese,1,5,112.4
1,top_bun,1,3,112.4
1,down_bun,1,3,146.7
1,tomato,1,6,146.7
1,onion,1,5,146.7
1,meat,1,15,146.7
1,top_bun,1,3,146.7
1.5,down_bun,1,3,159.8
1.5,lettuce,1,4,159.8
1.5,meat,1,15,159.8
1.5,cheese,1,5,159.8
1.5,tomato,1,6,159.8
1.5,onion,1,5,159.8
1.5,top_bun,1,3,159.8
1.5,down_bun,1,3,169.5
1.5,tomato,1,6,169.5
1.5,meat,1,15,169.5
1.5,cheese,1,5,169.5
1.5,onion,1,5,169.5
1.5,top_bun,1,3,169.5
1.5,down_bun,1,3,178.0
1.5,cheese,1,5,178.0
1.5,lettuce,1,4,178.0
1.5,onion,1,5,178.0
1.5,tomato,1,6,178.0
1.5,top_bun,1,3,178.0
1.5,down_bun,1,3,193.5
1.5,lettuce,1,4,193.5
1.5,onion,1,5,193.5
1.5,meat,1,15,193.5
1.5,cheese,1,5,193.5
1.5,top_bun,1,3,193.5
1.5,down_bun,1,3,203.4
1.5,onion,1,5,203.4
1.5,meat,1,15,203.4
1.5,cheese,1,5,203.4
1.5,lettuce,1,4,203.4
1.5,tomato,1,6,203.4
1.5,top_bun,1,3,203.4
2,down_bun,1,3,220.5
2,tomato,1,6,220.5
2,cheese,1,5,220.5
2,onion,1,5,220.5
2,lettuce,1,4,220.5
2,meat,1,15,220.5
2,top_bun,1,3,220.5
2,down_bun,1,3,230.6
2,lettuce,1,4,230.6
2,cheese,1,5,230.6
2,meat,1,15,230.6
2,tomato,1,6,230.6
2,top_bun,1,3,230.6
2,down_bun,1,3,249.8
2,cheese,1,5,249.8
2,meat,1,15,249.8
