game_hour,revenue,real_elapsed_s
0,101,58.4
0.5,148,73.0
0.5,181,87.7
0.5,206,95.0
0.5,251,106.9
1,214,152.5
1,230,158.4
1,252,169.9
1.5,313,180.9
1.5,331,186.6
1.5,347,199.1
1.5,368,206.8
1.5,411,228.3
1.5,447,235.3
2,488,253.4
2,538,266.2
2,555,280.4
2,584,287.0
2,599,297.2
2.5,538,329.7
0.5,43,60.0
0.5,64,66.2
0.5,80,79.7
0.5,121,88.2
0.5,101,107.7
0.5,132,115.8
1,131,128.0
1,148,133.5
1,194,146.3
1,165,173.8
1.5,225,189.2
1.5,246,209.4
2,196,26.5
2,194,76.8
2.5,230,86.1
2.5,256,97.5
2.5,287,108.3
2.5,272,132.0
3,299,150.9
3,350,162.9
3,372,177.8
3,409,186.0
3,426,195.2
3.5,429,216.2
3.5,410,244.2
3.5,442,254.9
4,482,278.4
4,513,297.9
4,534,305.2
4,522,317.4
4,538,323.9
4.5,565,334.8
4.5,581,341.7
4.5,601,354.8
4.5,621,372.2
4.5,657,382.8
5,699,390.2
5,674,418.8
5,688,425.2
5,737,438.6
5.5,767,454.7
5.5,785,463.1
5.5,814,471.3
5.5,865,484.8
5.5,881,493.1
5.5,922,504.3
0.5,866,34.4
0.5,910,56.5
1,944,65.2
1,971,73.2
1,991,81.9
1.5,1042,91.2
1.5,1023,109.9
1.5,1069,118.2
2.5,1099,150.6
2.5,1135,165.3
2.5,1151,172.6
3,1171,182.5
3.5,1125,38.4
4,1152,60.7
4,1175,69.9
4,1201,78.5
4.5,1232,87.6
4.5,1257,95.8
5,1225,116.6
5,1256,125.9
5,1285,138.7
5.5,1336,151.9
5.5,1383,164.1
0.5,1355,33.5
0.5,1406,55.5
1,1443,64.4
1,1468,72.5
1,1506,82.6
1.5,1547,94.1
1.5,1579,103.5
1.5,1607,112.4
2,1647,126.4
2,1669,136.0
2,1693,145.4
2.5,1712,157.4
2.5,1672,179.0
3,1698,187.4
3,1731,203.4
3.5,1781,230.9
3.5,1795,237.1
4,1791,251.5
4,1811,260.5
4,1819,264.4
4.5,1858,275.7
5.5,1722,62.2
5.5,1749,73.0
0,1718,24.5
0.5,1663,37.2
0.5,1718,51.9
1,1722,64.3
1,1748,79.5
1.5,1759,111.4
2,1805,120.9
2,1836,131.2
2,1862,138.2
2,1898,146.3
2.5,1915,162.7
2.5,1967,171.8
3,2005,190.6
3,2036,199.3
3,2056,208.4
3.5,2102,221.2
3.5,2138,231.3
4,2101,246.5
4,2135,262.9
4.5,2167,274.3
4.5,2190,292.2
4.5,2205,299.1
5,2235,306.3
5,2190,326.3
5.5,2212,335.3
5.5,2228,342.2
5.5,2268,355.3
0,2228,29.5
0.5,2259,41.0
0.5,2276,58.9
1,2339,69.8
1,2366,77.2
1,2393,85.8
1.5,2379,105.4
1.5,2406,112.7
2,2436,121.1
2.5,2450,162.3
2.5,2491,169.2
2.5,2523,178.1
3,2567,187.6
3.5,2596,213.6
3.5,2656,231.3
3.5,2691,238.1
4,2672,253.4
4,2707,261.3
4.5,2723,278.8
4.5,2765,291.5
5,2717,314.9
5,2744,321.5
5.5,2775,332.2
5.5,2794,346.2
5.5,2819,352.6
1,146,66.1
0.5,172,39.5
0.5,209,57.2
1,225,65.5
1,247,75.4
1.5,273,93.6
2,284,135.3
2,323,147.5
0.5,288,31.3
0.5,319,44.0
0.5,329,41.1
0,283,23.9
0.5,299,40.2
0.5,330,50.9
1,347,82.3
1.5,378,99.3
2,413,124.1
0.5,354,39.9
0.5,379,48.5
1,421,66.0
1,462,82.0
1.5,500,94.5
