game_hour,rating,real_elapsed_s
0.5,3,50.2
1.5,3,160.1
1.5,1,172.0
1.5,1,172.2
1.5,1,172.4
1.5,1,172.6
1.5,2,172.8
0.5,4,75.1
0.5,4,55.2
0.5,4,72.1
0.5,4,80.3
1,4,99.8
1,4,121.7
1,4,130.1
0,2,22.5
0.5,0,55.2
0.5,0,55.4
0.5,0,55.6
0,0,22.4
0.5,0,31.0
0.5,0,34.8
0,0,22.9
0,0,29.9
0,0,25.5
0.5,4,54.8
0.5,4,76.4
1,4,99.9
1,4,111.7
1,4,123.8
1,0,132.1
1,0,132.3
1,0,132.5
1,0,132.7
1,0,145.1
1,0,93.1
1,4,112.2
1,0,132.0
1,0,132.4
1,0,132.7
0.5,4,82.8
1,4,127.5
1,4,136.6
1,4,147.3
1.5,4,155.7
1.5,4,162.8
1.5,2,204.3
2,2,215.2
2,4,227.1
2,4,236.5
2,0,245.8
2.5,1,308.0
3,1,367.7
3,1,382.4
3.5,3,392.7
3.5,1,401.5
3.5,1,443.9
4,1,496.3
4.5,1,514.9
4.5,2,555.0
4.5,1,569.5
5,1,590.6
6,1,710.4
0.5,0,85.8
1,0,98.1
1,0,106.6
1,0,119.4
1,0,133.2
0.5,4,85.4
1,4,94.5
1,4,103.0
1,4,112.4
1,4,146.7
1.5,4,159.8
1.5,4,169.5
1.5,4,178.0
1.5,4,193.5
1.5,4,203.4
2,4,220.5
2,4,230.6
2,4,249.8
2,4,264.2
2.5,3,290.5
2.5,4,299.0
2.5,4,315.2
3,4,347.6
3,4,354.0
3,0,357.9
3,3,366.3
0.5,0,76.5
0.5,0,88.3
1,0,116.7
1,0,119.5
0.5,0,77.8
0.5,0,88.0
1,0,107.6
1,0,117.7
1,0,141.0
1.5,0,159.3
1.5,0,164.4
1.5,0,171.9
1.5,0,197.1
2,0,210.7
2,0,233.4
2,0,250.8
2.5,0,271.8
2.5,0,290.0
0.5,0,80.0
