game_hour,throughput,real_elapsed_s
0,0,10.0
0,1,20.0
0,1,30.0
0,2,40.0
0,3,50.0
0.5,3,60.0
0.5,4,70.0
0.5,4,80.0
0.5,4,90.0
0.5,3,100.0
0.5,3,110.0
1,3,120.0
1,4,130.0
1,5,140.0
1,5,150.0
1,3,160.0
1,3,170.0
1.5,4,180.0
1.5,2,190.0
1.5,2,200.0
1.5,2,210.0
1.5,3,220.0
1.5,2,230.0
2,2,240.0
2,2,250.0
2,2,260.0
2,2,270.0
2,3,280.0
2,2,290.0
2.5,2,300.0
2.5,2,310.0
2.5,3,320.0
2.5,2,330.0
0,0,10.0
0,1,20.0
0,2,30.0
0,2,40.0
0,3,50.0
0.5,3,60.0
0.5,2,70.0
0.5,2,80.0
0.5,2,90.0
0.5,2,100.0
0.5,2,110.0
1,2,120.0
1,2,130.0
1,1,140.0
1,1,150.0
1,2,160.0
1,2,170.0
1.5,2,180.0
1.5,2,190.0
1.5,3,200.0
1.5,2,210.0
1.5,0,10.0
1.5,1,20.0
2,0,30.0
2,1,40.0
2,2,50.0
2,2,60.0
2,3,70.0
2,2,80.0
2.5,2,90.0
2.5,1,100.0
2.5,1,110.0
2.5,2,120.0
2.5,3,130.0
2.5,2,140.0
3,3,150.0
3,2,160.0
3,2,170.0
3,1,180.0
3,1,190.0
3,1,200.0
3.5,1,210.0
3.5,1,220.0
3.5,2,230.0
3.5,3,240.0
3.5,2,250.0
3.5,2,260.0
4,3,270.0
4,2,280.0
4,3,290.0
4,3,300.0
4,2,310.0
4,2,320.0
4.5,2,330.0
4.5,2,340.0
4.5,2,350.0
4.5,2,360.0
4.5,2,370.0
4.5,2,380.0
5,2,390.0
5,2,400.0
5,3,410.0
5,3,420.0
5,2,430.0
5,2,440.0
5.5,3,450.0
5.5,2,460.0
5.5,2,470.0
5.5,2,480.0
5.5,2,490.0
5.5,1,500.0
0,0,10.0
0,1,20.0
0.5,2,30.0
0.5,2,40.0
0.5,2,50.0
1,2,60.0
1,2,70.0
1,2,80.0
1.5,2,90.0
1.5,1,100.0
1.5,1,110.0
2,1,120.0
2,2,130.0
2,3,140.0
2.5,4,150.0
2.5,3,160.0
2.5,3,170.0
3,3,180.0
3,0,10.0
3,1,20.0
3.5,1,30.0
3.5,2,40.0
3.5,2,50.0
4,3,60.0
4,2,70.0
4,2,80.0
4.5,2,90.0
4.5,1,100.0
4.5,2,110.0
5,2,120.0
5,2,130.0
5,2,140.0
5.5,2,150.0
5.5,2,160.0
5.5,2,170.0
0,0,10.0
0,1,20.0
0.5,2,30.0
0.5,2,40.0
0.5,3,50.0
1,3,60.0
1,3,70.0
1,3,80.0
1.5,3,90.0
1.5,3,100.0
1.5,3,110.0
2,3,120.0
2,3,130.0
2,3,140.0
2.5,3,150.0
2.5,3,160.0
2.5,4,170.0
3,4,180.0
3,4,190.0
3,5,200.0
3.5,5,210.0
3.5,6,220.0
3.5,7,230.0
4,5,240.0
4,6,250.0
4,7,260.0
4.5,6,270.0
4.5,5,280.0
4.5,0,10.0
5,1,20.0
5,1,30.0
5,2,40.0
5.5,3,50.0
5.5,4,60.0
5.5,4,70.0
0,0,10.0
0,0,10.0
0,1,20.0
0,0,10.0
0,0,10.0
